description,Maker_Model
"premium unleaded (required),MANUAL,rear wheel drive,Factory Tuner,Luxury,High-Performance,Compact,Coupe,BMW 1 Series M",BMW 1 Series M
"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Performance,Compact,Convertible,BMW 1 Series",BMW 1 Series
"premium unleaded (required),MANUAL,rear wheel drive,Luxury,High-Performance,Compact,Coupe,BMW 1 Series",BMW 1 Series
"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Performance,Compact,Coupe,BMW 1 Series",BMW 1 Series
"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Compact,Convertible,BMW 1 Series",BMW 1 Series
"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Performance,Compact,Coupe,BMW 1 Series",BMW 1 Series
"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Performance,Compact,Convertible,BMW 1 Series",BMW 1 Series
"premium unleaded (required),MANUAL,rear wheel drive,Luxury,High-Performance,Compact,Coupe,BMW 1 Series",BMW 1 Series
"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Compact,Convertible,BMW 1 Series",BMW 1 Series
"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Compact,Convertible,BMW 1 Series",BMW 1 Series
"premium unleaded (required),MANUAL,rear wheel drive,Luxury,High-Performance,Compact,Coupe,BMW 1 Series",BMW 1 Series
"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Performance,Compact,Coupe,BMW 1 Series",BMW 1 Series
"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Performance,Compact,Convertible,BMW 1 Series",BMW 1 Series
"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Compact,Convertible,BMW 1 Series",BMW 1 Series
"premium unleaded (required),MANUAL,rear wheel drive,Luxury,Performance,Compact,Coupe,BMW 1 Series",BMW 1 Series
"premium unleaded (required),MANUAL,rear wheel drive,Luxury,High-Performance,Compact,Convertible,BMW 1 Series",BMW 1 Series
"premium unleaded (required),MANUAL,rear wheel drive,Luxury,High-Performance,Compact,Coupe,BMW 1 Series",BMW 1 Series
"regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,Audi 100",Audi 100
"regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,Audi 100",Audi 100
"regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,Audi 100",Audi 100
"regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,Audi 100",Audi 100
"regular unleaded,MANUAL,all wheel drive,Luxury,Midsize,Sedan,Audi 100",Audi 100
"regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,Audi 100",Audi 100
"regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,Audi 100",Audi 100
"regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,Audi 100",Audi 100
"regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,Audi 100",Audi 100
"regular unleaded,MANUAL,all wheel drive,Luxury,Midsize,Sedan,Audi 100",Audi 100
